iter	Passed	Remaining
582	1928	1379
583	1931	1375
584	1934	1372
585	1937	1368
586	1940	1365
587	1943	1362
588	1947	1358
589	1950	1355
590	1953	1352
591	1956	1348
592	1960	1345
593	1963	1341
594	1966	1338
595	1972	1336
596	1975	1333
597	1978	1330
598	1981	1326
599	1985	1323
600	1988	1320
601	1991	1316
602	1995	1313
603	1998	1310
604	2001	1306
605	2005	1303
606	2008	1300
607	2011	1296
608	2014	1293
609	2017	1289
610	2020	1286
611	2023	1283
612	2026	1279
613	2030	1276
614	2033	1272
615	2036	1269
616	2039	1265
617	2042	1262
618	2045	1259
619	2048	1255
620	2051	1252
621	2054	1248
622	2058	1245
623	2061	1242
624	2064	1238
625	2067	1235
626	2070	1231
627	2073	1228
628	2077	1225
629	2080	1221
630	2083	1218
631	2086	1215
632	2090	1211
633	2093	1208
634	2096	1205
635	2099	1201
636	2102	1198
637	2105	1194
638	2109	1191
639	2112	1188
640	2115	1184
641	2118	1181
642	2121	1177
643	2124	1174
644	2127	1170
645	2130	1167
646	2133	1163
647	2136	1160
648	2139	1156
649	2142	1153
650	2145	1150
651	2148	1146
652	2151	1143
653	2154	1139
654	2157	1136
655	2161	1133
656	2164	1129
657	2169	1127
658	2173	1124
659	2176	1121
660	2180	1118
661	2183	1114
662	2186	1111
663	2189	1108
664	2193	1104
665	2196	1101
666	2199	1098
667	2204	1095
668	2209	1092
669	2214	1090
670	2218	1087
671	2221	1084
672	2225	1081
673	2230	1078
674	2235	1076
675	2238	1072
676	2241	1069
677	2244	1066
678	2247	1062
679	2251	1059
680	2254	1056
681	2259	1053
682	2264	1051
683	2267	1047
684	2270	1044
685	2273	1040
686	2277	1037
687	2282	1034
688	2286	1032
689	2290	1028
690	2293	1025
691	2296	1022
692	2301	1019
693	2305	1016
694	2310	1013
695	2315	1011
696	2318	1008
697	2322	1004
698	2325	1001
699	2328	998
700	2332	994
701	2335	991
702	2338	987
703	2341	984
704	2344	980
705	2347	977
706	2350	974
707	2353	970
708	2356	967
709	2359	963
710	2364	961
711	2369	958
712	2372	955
713	2375	951
714	2379	948
715	2382	944
716	2385	941
717	2388	937
718	2391	934
719	2394	931
720	2397	927
721	2400	924
722	2403	920
723	2406	917
724	2409	913
725	2410	909
726	2413	906
727	2416	902
728	2419	899
729	2422	896
730	2425	892
731	2428	889
732	2431	885
733	2435	882
734	2440	879
735	2445	877
736	2448	873
737	2451	870
738	2454	866
739	2459	864
740	2464	861
741	2467	858
742	2470	854
743	2474	851
744	2479	848
745	2483	845
746	2486	842
747	2489	838
748	2493	835
749	2496	832
750	2499	828
751	2502	825
752	2505	821
753	2508	818
754	2511	815
755	2515	811
756	2520	809
757	2523	805
758	2527	802
759	2530	799
760	2534	795
761	2537	792
762	2540	789
763	2543	785
764	2546	782
765	2550	778
766	2553	775
767	2558	772
768	2564	770
769	2568	767
770	2571	763
771	2574	760
772	2577	757
773	2580	753
774	2583	750
775	2586	746
776	2590	743
777	2593	740
778	2596	736
779	2600	733
780	2604	730
781	2609	727
782	2613	724
783	2617	721
784	2620	717
785	2625	714
786	2629	711
787	2632	708
788	2635	704
789	2638	701
790	2641	697
791	2644	694
792	2647	691
793	2650	687
794	2653	684
795	2656	680
796	2660	677
797	2663	674
798	2666	670
799	2667	666
800	2670	663
801	2674	660
802	2677	656
803	2681	653
804	2684	650
805	2687	646
806	2690	643
807	2693	640
808	2696	636
809	2699	633
810	2703	629
811	2706	626
812	2709	623
813	2712	619
814	2715	616
815	2718	613
816	2722	609
817	2725	606
818	2729	603
819	2732	599
820	2735	596
821	2738	593
822	2743	590
823	2746	586
824	2751	583
825	2756	580
826	2761	577
827	2765	574
828	2768	571
829	2772	567
830	2775	564
831	2778	561
832	2781	557
833	2784	554
834	2788	550
835	2791	547
836	2794	544
837	2798	540
838	2801	537
839	2804	534
840	2807	530
841	2811	527
